,date,share_id,total_quantity,close,cum_qty,ffill_close
131,2023-01-12,7e4e305b-f207-403c-914d-b4beb3f2900b,0.0,95.2700,0.0,95.2700
132,2023-01-13,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.9935,0.0,33.9935
133,2023-01-13,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,76.0200,0.0,76.0200
134,2023-01-13,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,13.2822,0.0,13.2822
135,2023-01-13,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,11.8909,0.0,11.8909
136,2023-01-13,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,69.5750,0.0,69.5750
137,2023-01-13,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,34.6737,0.0,34.6737
138,2023-01-13,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0860,0.0,1.0860
139,2023-01-13,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,0.0,134.0109,0.0,134.0109
140,2023-01-13,aa5e76ca-130c-410f-827d-346fc860e57c,0.0,6.9600,0.0,6.9600
141,2023-01-13,ee259433-1f77-416c-8e1a-68eba0d11da3,0.0,71.0000,0.0,71.0000
142,2023-01-13,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,0.0,85.1451,0.0,85.1451
143,2023-01-13,7e4e305b-f207-403c-914d-b4beb3f2900b,0.0,98.1200,0.0,98.1200
144,2023-01-14,651a9c51-ccc8-4a87-9a67-8846e14df5cd,,,,33.9935
145,2023-01-14,41a5e70d-28d6-4304-bb02-432a146a6a75,,,,76.0200
146,2023-01-14,00fdb08c-91fd-49bd-9759-23efadf6f5d0,,,,13.2822
147,2023-01-14,d0ec9706-fe99-412a-ae53-323fe8537520,,,,11.8909
148,2023-01-14,63f6ce83-2742-4dfd-a6b1-c881d2b35658,,,,69.5750
149,2023-01-14,a0de175b-66b6-40c6-8d55-e6011346c172,,,,34.6737
150,2023-01-14,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,,,,1.0860
